"Data";"Descrição";"Preço de custo";"Quantidade";"Preço unitário";"Total dos Produtos";"Valor total"
"02/01/2023";"(Viagem salao) Refeicao Seg a Sexta *";"0,00";"2,00";"47,98";"93,77";"47,98"
"02/01/2023";"Bananinha com acucar - Paraibuna";"0,00";"5,00";"9,60";"116,57";"16,00"
"02/01/2023";"Bananinha sem acucar - Paraibuna";"0,00";"1,00";"3,80";"31,99";"3,80"
"02/01/2023";"Basi Co - Manteiga de macadamia";"0,00";"2,00";"14,90";"190,65";"29,80"
"02/01/2023";"Biscoito de polvilho Da Roca (Graos e Ervas Finas)";"0,00";"1,00";"6,50";"126,08";"6,50"
"02/01/2023";"Bucha vegetal Biowash";"0,00";"1,00";"5,90";"126,08";"5,90"
"02/01/2023";"Buffet a vontade (Seg a Sexta) *";"0,00";"73,00";"999,60";"2.405,26";"1.767,97"
"02/01/2023";"Combo Almoço+sobremesa+bebida (Seg a Sex)";"0,00";"1,00";"34,99";"190,65";"34,99"
"02/01/2023";"Esponja vegetal para louça - Biowash";"0,00";"1,00";"8,90";"81,78";"8,90"
"02/01/2023";"Farofa artesanal Raizes (sem pimenta)";"0,00";"1,00";"11,90";"126,08";"11,90"
"02/01/2023";"Fudge vegano - Castanha do Para (Seren dips)";"0,00";"3,00";"10,00";"108,03";"15,00"
"02/01/2023";"Goiabada Zero Individual";"0,00";"1,00";"3,20";"28,19";"3,20"
"02/01/2023";"Homus Vidaveg";"0,00";"1,00";"11,90";"36,89";"11,90"
"02/01/2023";"Iogurte grego tradicional - Vidaveg";"0,00";"1,00";"9,90";"68,78";"9,90"
"02/01/2023";"Leite Naturis Tradicional Batavo";"0,00";"1,00";"10,90";"133,76";"10,90"
"02/01/2023";"Mondo Picole - Blond Biscoito Belga";"0,00";"3,00";"38,70";"322,72";"38,70"
"02/01/2023";"Mondo Picole - Choco Nuts";"0,00";"5,00";"35,70";"234,10";"59,50"
"02/01/2023";"Mondo Picole - Original";"0,00";"1,00";"10,90";"81,78";"10,90"
"02/01/2023";"Mousse de chocolate - Vidaveg";"0,00";"1,00";"10,90";"68,78";"10,90"
